,Centre,Addresse,Quartier,Lat,Lon,NOM
116,Parc du Fort-De-Pointe-Aux-Trembles,"Bd Saint-Jean-Baptiste O, Pointe-aux-Trembles, QC H1B 3Z5",Montréal-Est,45.64006,-73.488325,Montréal-Est
117,Parc Saint-Marcel,"1636 6e Avenue, Pointe-aux-Trembles, QC H1B 4L4",Montréal-Est,45.639524,-73.508646,Montréal-Est
118,Parc Des Bouleaux,"218 Rue des Bouleaux, Pointe-aux-Trembles, QC H1B 3G2",Montréal-Est,45.647072,-73.501285,Montréal-Est
119,Parc McLearon,"7 19e Avenue, Pointe-aux-Trembles, QC H1B 3E3",Montréal-Est,45.645446,-73.489385,Montréal-Est
120,Parc Ronald,"Montréal-Ouest, QC H4X 1M8",Montréal-Ouest,45.448927,-73.641801,Montréal-Ouest
121,Parc Davies,"avenue, and Aislie, Westminster Ave S, Montreal West, Quebec H4X 1Y5",Montréal-Ouest,45.452015,-73.643715,Montréal-Ouest
122,Parc Kirkpatrick,"23 Av. Easton, Montréal-Ouest, QC H4X 1K9",Montréal-Ouest,45.450154,-73.649891,Montréal-Ouest
123,Parc George Booth,"Av. Bedbrook, Montréal-Ouest, QC H4X 1R8",Montréal-Ouest,45.451514,-73.650423,Montréal-Ouest
124,Parc Roy D. Locke,"Montréal-Ouest, QC H4X 1Y8",Montréal-Ouest,45.453199,-73.6457,Montréal-Ouest
125,Terrain Hodgson,"Montréal-Ouest, QC H4X 1S1",Montréal-Ouest,45.452671,-73.653564,Montréal-Ouest
126,Parc Toe Blake,"Montréal-Ouest, QC H4X 1P1",Montréal-Ouest,45.454304,-73.660484,Montréal-Ouest
127,Parc Rugby,"Chem. Radcliffe, Montréal-Ouest, QC",Montréal-Ouest,45.45286,-73.64918,Montréal-Ouest
128,Parc Dave Reid,"Av. Percival, Montréal-Ouest, QC H4X 1T9",Montréal-Ouest,45.453489,-73.653351,Montréal-Ouest
129,Parc Strathearn,"Rue Parkside, Montréal-Ouest, QC H4X 1W1",Montréal-Ouest,45.454135,-73.651869,Montréal-Ouest
130,Parc Allan’s Hill,"Lakeshore Rd, Baie-D'Urfe, QC H9X 3J3",Baie-d'Urfé,45.4155214,-73.9025532,Baie-d'Urfé
131,Parc Balsam,"Balsam St, Baie-D'Urfe, QC H9X 3K5",Baie-d'Urfé,45.417764,-73.9013573,Baie-d'Urfé
132,Parc Bertold,"Rue Churchill, Baie-d'Urfé, QC H9X 2Z4",Baie-d'Urfé,45.4042048,-73.9238973,Baie-d'Urfé
133,Parc Commémoratif Fritz,"Baie-D'Urfe, QC H9X 1R3",Baie-d'Urfé,45.4084573,-73.923055,Baie-d'Urfé
134,Parc de la Grange rouge,"20609 Chem. Lakeshore, Baie-d'Urfé, QC H9X 2Z4",Baie-d'Urfé,45.4059849,-73.922241,Baie-d'Urfé
135,Parc Gray,"Gray St, Baie-D'Urfe, QC H9X 3V3",Baie-d'Urfé,45.4189278,-73.9076967,Baie-d'Urfé
136,Parc Morgan,"Morgan St, Baie-D'Urfe, QC H9X 3A3",Baie-d'Urfé,45.4117473,-73.9176558,Baie-d'Urfé
137,Parc Picardy,"Victoria St, Baie-D'Urfe, QC H9X 3G8",Baie-d'Urfé,45.4179409,-73.9044418,Baie-d'Urfé
138,Parc Beacon Hill,"100 Harwood Gate, Beaconsfield, Quebec H9W 2Z3",Beaconsfield,45.4334643,-73.8531195,Beaconsfield
139,Briarwood Park,"50 Av. Willowbrook, Beaconsfield, QC H9W 3P6",Beaconsfield,45.4335239,-73.852993,Beaconsfield
140,Parc Jasper,"1 Claude St, Beaconsfield, Quebec H9W 4E9",Beaconsfield,45.4335239,-73.852993,Beaconsfield
141,Parc Beaconsfield Heights,"229 Evergreen Dr, Beaconsfield, Quebec H9W 2A9",Beaconsfield,45.433317,-73.8596864,Beaconsfield
142,Parc Windmere,"Beaconsfield, Quebec H9W 1R2",Beaconsfield,45.4372925,-73.8750626,Beaconsfield
143,Parc Shannon,"340 Preston Dr, Beaconsfield, Quebec H9W 1Z5",Beaconsfield,45.4372925,-73.8750626,Beaconsfield
144,Parc Montrose,"Av Elm, Beaconsfield, QC",Beaconsfield,45.4283362,-73.879087,Beaconsfield
