,Centre,Addresse,Quartier,Lat,Lon,NOM
531,Patinoire du parc de la Reine-Élisabeth,"rue Penniston, Montréal",Verdun,45.4395481,-73.5916701,Verdun
532,Patinoire du parc de la Savane,"5111, rue Paré, Montréal",Côte-des-Neiges–Notre-Dame-de-Grâce,45.4857537,-73.6743386,Côte-des-Neiges-Notre-Dame-de-Grâce
533,Patinoire du parc De La Vérendrye,"5900, rue Drake, Montréal",Le Sud-Ouest,45.4589717,-73.5815697,Le Sud-Ouest
534,Patinoire du parc De Lorimier,"5131, rue Chabot, Montréal",Le Plateau-Mont-Royal,45.5546107,-73.6185626,Villeray-Saint-Michel-Parc-Extension
535,Patinoire du parc de Montmartre,"60e Avenue, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6558897,-73.565722,Rivière-des-Prairies-Pointe-aux-Trembles
536,Patinoire du parc De Normanville,"7480, rue De Normanville, Montréal",Villeray–Saint-Michel–Parc-Extension,45.54552837311828,-73.61457552365592,Villeray-Saint-Michel-Parc-Extension
537,Patinoire du parc de Spalding,"7901, avenue Spalding, Montréal",Anjou,45.6024592,-73.5523232,Anjou
538,Patinoire du parc des Faubourgs,"1872, rue Dorion, Montréal",Ville-Marie,45.52620582,-73.55693920666667,Ville-Marie
539,Patinoire du parc des Pins,"3995, 42e avenue, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6665499,-73.5160539,Rivière-des-Prairies-Pointe-aux-Trembles
540,Patinoire du parc des Rapides,"7770, boulevard LaSalle, Montréal",LaSalle,45.4262383,-73.5961642,LaSalle
541,Patinoire du parc des Vétérans,"1655, avenue Papineau, Montréal",Ville-Marie,45.52390952105263,-73.55495934035088,Ville-Marie
542,Patinoire du parc Dixie,"257, 54e Avenue, Montréal",Lachine,45.44127506107143,-73.71738271142857,Lachine
543,Patinoire du parc du Bois-Franc,"2145 rue du Chinook, Montréal",Saint-Laurent,45.5146427,-73.7131242,Saint-Laurent
544,Patinoire du parc du Pélican,"2590, rue Masson, Montréal",Rosemont–La Petite-Patrie,45.5451252,-73.5765343,Rosemont-La Petite-Patrie
545,Patinoire du parc du Père-Marquette,"1602, rue de Bellechasse, Montréal",Rosemont–La Petite-Patrie,45.5409785,-73.5936771,Rosemont-La Petite-Patrie
546,Patinoire du parc Duquette,"990, rue Dupuis, Montréal",Verdun,45.4662845,-73.5744974,Verdun
547,Patinoire du parc Eugène-Dostie,"montée de l'Église, Montréal",L'Île-Bizard–Sainte-Geneviève,45.5011327,-73.8965177,L'Île-Bizard-Sainte-Geneviève
548,Patinoire du parc Gédéon-De Catalogne,"Rue du Square Sir-George-Étienne-Cartier, Montréal",Le Sud-Ouest,,,
549,Patinoire du parc Georges-Gauthier,"8517, place Aldéric-Beaulac, Montréal",Ahuntsic-Cartierville,45.555527,-73.6286099,Ahuntsic-Cartierville
550,Patinoire du parc Gohier,"730, rue Buchanan, Montréal",Saint-Laurent,45.5090109,-73.6814752,Saint-Laurent
551,Patinoire du parc Hans-Selye,"7521, Avenue André-Ampère, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6309811629452,-73.60113247017148,Rivière-des-Prairies-Pointe-aux-Trembles
552,Patinoire du parc Henri-Julien,"9300, rue Saint-Denis, Montréal",Ahuntsic-Cartierville,45.5480974,-73.6489555,Ahuntsic-Cartierville
553,Patinoire du parc Houde,"378, rue Gratton, Montréal",Saint-Laurent,45.4816734,-73.8608947,Pierrefonds-Roxboro
554,Patinoire du parc Howard,"8505, avenue De L'Épée, Montréal",Villeray–Saint-Michel–Parc-Extension,45.533273,-73.641962,Villeray-Saint-Michel-Parc-Extension
555,Patinoire du parc Ignace-Bourget,"5952, avenue de Montmagny, Montréal",Le Sud-Ouest,45.45736441588785,-73.60375152897197,Le Sud-Ouest
556,Patinoire du parc Jacques-Parizeau,"Avenue de Vimy, Montréal",Outremont,45.51594,-73.6263347,Côte-des-Neiges-Notre-Dame-de-Grâce
557,Patinoire du parc Jean-Amyot,"6110, rue de Marseille, Montréal",Mercier–Hochelaga-Maisonneuve,45.57672766666667,-73.54067979999999,Mercier-Hochelaga-Maisonneuve
558,Patinoire du parc Jeanne-Lapierre,"13201, rue Ève-Gagnier, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6602002,-73.5155212,Rivière-des-Prairies-Pointe-aux-Trembles
559,Patinoire du parc Jeanne-Mance,"4422, avenue de l'Esplanade, Montréal",Le Plateau-Mont-Royal,45.5177321,-73.58681530000001,Le Plateau-Mont-Royal
560,Patinoire du parc Jonathan-Wilson,"3243, boulevard Chèvremont, Montréal",L'Île-Bizard–Sainte-Geneviève,45.5000951,-73.8701403,L'Île-Bizard-Sainte-Geneviève
561,Patinoire du parc Joseph-Avila-Proulx,"Rue Dubuisson, Montréal",L'Île-Bizard–Sainte-Geneviève,45.4963335,-73.8808235,L'Île-Bizard-Sainte-Geneviève
562,Patinoire du parc Joseph-Paré,"43e Avenue, Montréal",Rosemont–La Petite-Patrie,45.4183222,-73.6191356,LaSalle
563,Patinoire du parc Kirkland,"150, rue des Érables, Montréal",Lachine,45.4467263,-73.6502458,Lachine
564,Patinoire du parc Lacordaire,"12576, boulevard Lacordaire, Montréal",Montréal-Nord,45.61677611176471,-73.63084898235294,Montréal-Nord
565,Patinoire du parc Lafond,"3500, avenue Laurier Est, Montréal",Rosemont–La Petite-Patrie,45.5521213,-73.5699362,Rosemont-La Petite-Patrie
566,Patinoire du parc Lalancette,"2315, rue Nicolet, Montréal",Mercier–Hochelaga-Maisonneuve,45.5480242,-73.548539,Mercier-Hochelaga-Maisonneuve
567,Patinoire du parc LaSalle,"801, rue Saint-Antoine, Montréal",Lachine,45.4397027,-73.697109,Lachine
568,Patinoire du parc Le Carignan,"11481, avenue P.-M.-Favier, Montréal",Montréal-Nord,45.6093388,-73.6157397,Montréal-Nord
569,Patinoire du parc Le Prévost,"7275, avenue Christophe-Colomb, Montréal",Villeray–Saint-Michel–Parc-Extension,45.543459920000004,-73.6139635,Villeray-Saint-Michel-Parc-Extension
570,Patinoire du parc Lefebvre,"8600, rue Hardy, Montréal",LaSalle,45.4373064,-73.6352858,LaSalle
571,Patinoire du parc Liébert,"2848, rue Liébert, Montréal",Mercier–Hochelaga-Maisonneuve,45.5938206,-73.5159358,Mercier-Hochelaga-Maisonneuve
572,Patinoire du parc Maisonneuve,"4365, rue Sherbrooke Est, Montréal",Rosemont–La Petite-Patrie,45.55896664478707,-73.55464972797775,Rosemont-La Petite-Patrie
573,Patinoire du parc Marcel-Laurin,"2345, boulevard Thimens, Montréal",Saint-Laurent,45.5079871,-73.70119532827582,Saint-Laurent
574,Patinoire du parc Marcel-Léger,"14678, rue Notre-Dame Est, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.5858544,-73.5078805,Mercier-Hochelaga-Maisonneuve
575,Patinoire du parc Marie-Claire-Daveluy,"12180, avenue Jean-Yves-Bigras, Montréal",Rivière-des-Prairies–Pointe-aux-Trembles,45.6490698,-73.5684006,Rivière-des-Prairies-Pointe-aux-Trembles
576,Patinoire du parc Michel-Ménard,"1830, croissant Roy, Montréal",Lachine,45.4461591,-73.6827398,Lachine
577,Patinoire du parc Molson,"2473, rue Beaubien Est, Montréal",Rosemont–La Petite-Patrie,45.5341408,-73.6047549,Rosemont-La Petite-Patrie
578,Patinoire du parc Nicolas-Viel,"11000, boulevard Saint-Laurent, Montréal",Ahuntsic-Cartierville,45.5518535,-73.6762518,Ahuntsic-Cartierville
579,Patinoire du parc Noël-Nord,"2900, rue Baker, Montréal",Saint-Laurent,45.518006,-73.7285795,Saint-Laurent
580,Patinoire du parc Oakwood,"avenue Roskilde, Montréal",Outremont,45.5133918,-73.6003715,Outremont
581,Patinoire du parc Oscar,"10660, boulevard Saint-Michel, Montréal",Montréal-Nord,45.58202938,-73.64763232,Montréal-Nord
582,Patinoire du parc Oscar-Peterson,"810, rue Chatham, Montréal",Le Sud-Ouest,45.4894614,-73.575003,Le Sud-Ouest
583,Patinoire du parc Ouellette,"1407, rue Serre, Montréal",LaSalle,45.4320394,-73.6214194,LaSalle
584,Patinoire du parc Ovila-Legaré,"9275, boulevard Pie-IX, Montréal",Villeray–Saint-Michel–Parc-Extension,45.5813975,-73.6245309,Villeray-Saint-Michel-Parc-Extension
585,Patinoire du parc Painter,"260, rue Marcotte, Montréal",Saint-Laurent,45.5286235,-73.6774723,Saint-Laurent
