Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
La Maison Grecque,4.2,45.5213236,-73.5752217,"450 Duluth Ave E, Montreal, Quebec H2L 1A5, Canada             450 Av. Duluth E, Montréal, QC H2L 1A5",H2L 1A5,890
Pappou Souvlaki,4.7,45.5036621,-73.8164306,"4767 Sources Blvd, Pierrefonds, Quebec H8Y 3C6, Canada             4767 Bd des Sources, Pierrefonds, QC H8Y 3C6",H8Y 3C6,220
TAKA TAKA,4.3,45.5327546,-73.5749307,"1689 Mont-Royal Ave E, Montreal, Quebec H2H 1Z6, Canada             1689 Avenue du Mont-Royal E, Montréal, QC H2H 1Z6",H2H 1Z6,250
La Porte Grecque,3.8,45.5008673,-73.814765,"4600 Sources Blvd, Dollard-Des Ormeaux, Quebec H8Y 3C4, Canada             4600 Bd des Sources, Dollard-des-Ormeaux, QC H8Y 3C4",H8Y 3C4,934
Olympique Souvlaki,,45.4462982,-73.7453937,"940 Chem. Herron, Dorval, QC H9S 1B3, Canada",H9S 1B3,0
Marathon Souvlaki,4.4,45.4833079,-73.7939721,"3313 Sources Blvd, Dollard-Des Ormeaux, Quebec H9B 1Z6, Canada             3313 Bd des Sources, Dollard-des-Ormeaux, QC H9B 1Z6",H9B 1Z6,1664
Philinos Restaurant,4.4,45.5181835,-73.5929208,"4806 Park Ave, Montreal, Quebec H2V 4E7, Canada             4806 Av du Parc, Montréal, QC H2V 4E7",H2V 4E7,415
Kouzina,4.5,45.4444108,-73.74296,"352 Av. Dorval, Dorval, QC H9S 3H7, Canada",H9S 3H7,53
Mythos Ouzeri Restaurant,4.4,45.5209561,-73.6000177,"5318 Park Ave, Montreal, Quebec H2V 4G7, Canada             5318 Av du Parc, Montréal, QC H2V 4G7",H2V 4G7,627
Faros Restaurant - Greek Seafood - Mediterranean,4.3,45.519926,-73.5977389,"362 Av. Fairmount O, Montréal, QC H2V 2G5, Canada",H2V 2G5,182
Mediterranean Oasis,4.4,47.7402056,-122.3438867,"15238 Aurora Ave N, Shoreline, WA 98133",98133,254
Man’oushe Express,4.6,47.7290747,-122.2925115,"13721 Lake City Way NE, Seattle, WA 98125",98125,371
Zeeks Pizza,4.2,47.6762737,-122.2058574,"124 Park Ln, Kirkland, WA 98033",98033,390
Katina's Kitchen,4.5,47.6579331,-122.3895166,"4215 Gilman Ave W, Seattle, WA 98199",98199,137
Caravan Kebab,4.5,47.7786967,-122.3628011,"9711 Firdale Ave, Edmonds, WA 98020",98020,415
Falafel Fresh,1,47.674931,-122.2064936,"117 Lake St S, Kirkland, WA 98033",98033,1
Mediterranean Kitchen,4.4,47.6113583,-122.2017444,"103 Bellevue Way NE #103, Bellevue, WA 98004",98004,1282
Afghan Choopan Restaurant,4.3,47.7527336,-122.2127686,"17121 Bothell Way NE, Bothell, WA 98011",98011,197
Royal India Fine Dining & Catering,4,47.705188,-122.21222,"9714 Juanita Dr NE, Kirkland, WA 98034",98034,849
Sultan Gyros Grill,4.4,47.6590237,-122.3129035,"4222 University Way NE, Seattle, WA 98105",98105,596
Al Basha Mediterranean Grill,4.3,47.6136392,-122.3466025,"2302 1st Ave, Seattle, WA 98121",98121,1440
Mr D's Greek Delicacies,4.4,47.6092061,-122.3412533,"1518 Pike Pl, Seattle, WA 98101",98101,223
Caspian Bellevue,4.1,47.6263037,-122.1569433,"1806 136th Pl NE, Bellevue, WA 98005",98005,667
Kafe Neo Edmonds,4.3,47.8077444,-122.3266667,"21108 Hwy 99, Edmonds, WA 98026",98026,800
Santorini Pizza & Pasta,4.6,47.7085327,-122.2912092,"11001 35th Ave NE, Seattle, WA 98125",98125,240
Cafe Arta & Pub at Third Place,4.5,47.6760117,-122.306388,"6504 20th Ave NE, Seattle, WA 98115",98115,248
Athina Grill,4.2,47.6241126,-122.3565575,"528 Queen Anne Ave N, Seattle, WA 98109",98109,327
Samir's Mediterranean Grill,4.6,47.6599528,-122.3135131,"1316 NE 43rd St, Seattle, WA 98105",98105,51
Nick's Grill,4.8,47.7043176,-122.1764925,"11613 124th Ave NE, Kirkland, WA 98034",98034,500
Lola,4.4,47.613369,-122.3401471,"2000 4th Ave, Seattle, WA 98121",98121,3255
Gyro & More,4.7,47.6299814,-122.3425374,"1205 Dexter Ave N, Seattle, WA 98109",98109,282
Cafe Veloce,4.5,47.7114418,-122.1786466,"12514 120th Ave NE, Kirkland, WA 98034",98034,1453
Gyro Hut,4.4,47.7094168,-122.3203311,"11020 8th Ave NE, Seattle, WA 98125",98125,536
Mr. Gyros,4.5,47.6615198,-122.3258248,"256 NE 45th St, Seattle, WA 98105",98105,241
Grappa,4.5,47.6385683,-122.3567435,"2 W Boston St, Seattle, WA 98109",98109,688
Aladdin Gyro-Cery & Deli,4.5,47.6579819,-122.3133619,"4139 University Way NE, Seattle, WA 98105",98105,1731
Hummus Cafe,4.4,47.6904587,-122.3549938,"8420 Greenwood Ave N, Seattle, WA 98103",98103,256
Greek Express,4.3,47.6096179,-122.1417947,"14835 Main St, Bellevue, WA 98007",98007,333
Persepolis Grill,4.3,47.669085,-122.313308,"5517 University Way NE, Seattle, WA 98105",98105,830
Mr. Gyros,4.5,47.669315,-122.3818615,"5522 20th Ave NW, Seattle, WA 98107",98107,534
Costas Restaurant,4,47.6629801,-122.3133074,"4559 University Way NE, Seattle, WA 98105",98105,633
Cafe Turko,4.5,47.6495874,-122.348023,"750 N 34th St, Seattle, WA 98103",98103,2673
Tanoor Sammamish,4.3,47.6057039,-122.0371499,"22610 SE 4th St #400, Sammamish, WA 98074",98074,1076
The Golden Olive,4.5,47.6239481,-122.3570915,"521 Queen Anne Ave N, Seattle, WA 98109",98109,842
Shawarma King,4.4,47.6609142,-122.3134289,"4337 University Way NE, Seattle, WA 98105",98105,1121
Mint and olives,4.6,47.6247129,-122.357234,"8 W Mercer St, Seattle, WA 98119",98119,240
Gyro Time Restaurant,4.6,47.7044973,-122.3550317,"10400 Greenwood Ave N, Seattle, WA 98133",98133,539
Garlic Crush,4.2,47.6114333,-122.2012222,"102 Bellevue Way NE, Bellevue, WA 98004",98004,952
Yanni's Greek Restaurant,4.7,47.6830683,-122.3555778,"7419 Greenwood Ave N, Seattle, WA 98103",98103,586
Cloud Food Court Kirkland,4.7,47.6759701,-122.2084804,"52 Lakeshore Plaza Suite E, Kirkland, WA 98033",98033,97
Zaina,4.5,47.6868171,-122.3128264,"8000 Lake City Way NE, Seattle, WA 98115",98115,874
Al Bacha Restaurant,4.5,47.6185578,-122.3210733,"1833 Broadway, Seattle, WA 98122",98122,578
Athena Pizzeria,4.4,45.5111215,-73.806902,"10421 Boul Gouin O, Roxboro, QC H8Y 1W6, Canada",H8Y 1W6,297
Pizza Des Sources,4.1,45.4648897,-73.7867784,"1860 Sources Blvd, Pointe-Claire, Quebec H9R 5B1, Canada             1860 Bd des Sources, Pointe-Claire, QC H9R 5B1",H9R 5B1,224
Le Quartier du Déjeuner,4.3,45.4647891,-73.7865615,"1858c Sources Blvd, Pointe-Claire, Quebec H9R 5B1, Canada             1858c Bd des Sources, Pointe-Claire, QC H9R 5B1",H9R 5B1,561
Domino's Pizza,4,45.4616177,-73.8178423,"183 Hymus Blvd, Pointe-Claire, Quebec H9R 1E9, Canada             183 Boul Hymus, Pointe-Claire, QC H9R 1E9",H9R 1E9,253
40 Westt,4.5,45.4819444,-73.7958333,"2305 Trans-Canada Hwy, Pointe-Claire, Quebec H9R 5Z5, Canada             2305 Route Transcanadienne, Pointe-Claire, QC H9R 5Z5",H9R 5Z5,1430
Mediterranean Trading Co,1,45.4741384,-73.8168235,"121 Brunswick Blvd, Pointe-Claire, Quebec H9R 5N2, Canada             121 Bd Brunswick, Pointe-Claire, QC H9R 5N2",H9R 5N2,1
Gigi Pizzeria,4.4,45.4287372,-73.8264187,"302 Chem. du Bord-du-Lac-Lakeshore, Pointe-Claire, QC H9S 4L5, Canada",H9S 4L5,746
Gyro on lake city,4.5,47.7185212,-122.2953769,"12340 Lake City Way NE, Seattle, WA 98125",98125,129
