Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Café-In,1375 Avenue Thérèse-Lavoie-Roux Campus MIL - Local B-0110.1,H2V 0B3,45.5228569,-73.619948,23,4.4
Second Cup Café avec Pinkberry yogourt glacé,1275 Av. Bernard,H2V 1V8,45.5196004,-73.6094307,177,4.2
Casa Pablo Boutique Café,50 Rue Jean-Talon O,H2R 2W7,45.5339318,-73.6188083,38,4.9
Café de la Gare,700 Boulevard René-Lévesque O,H3B 1X8,45.5014131,-73.5675083,8,4.4
"RUBY CAFÉ MTL, Pet Friendly Restaurant, Brunch Restaurant Montreal",3824 Rue Saint-Patrick,H4E 1A4,45.4689029,-73.5824396,146,4.4
Oliveraies Ktima Barakaris,6000 Rue Sherbrooke O,H4A 1X9,45.4683842,-73.6196325,287,4.7
La Finca café & marché local,1067 Rue de Bleury,H2Z 1N1,45.5046201,-73.5629504,1237,4.7
Micro Espresso Café,417 Rue Saint-Pierre Suite 102,H2Y 2M4,45.5015378,-73.5567052,217,4.9
Café Différance,449 Av. Viger O,H2Z 1G6,45.5026997,-73.5628155,325,4.7
Café C C,1440 Rue Stanley,H3A 1P7,45.4994483,-73.5748669,2,3
Café Nocturne,19 Rue Prince Arthur O,H2X 1S4,45.513585,-73.5729521,490,4.6
Café Van Houtte,1515 Sainte-Catherine O,H3G 2W1,45.495368,-73.577996,212,4
Club Social PS,"Parc Yamaska entrance, 5090A Notre-Dame St W",H4C 1T1,45.4698226,-73.5917437,65,4.7
Le Café Bloom,1940 Rue Centre,H3K 1J2,45.4822453,-73.5629676,699,4.5
Café Vienne,400 Av. Atlantic,H2V 4H9,45.5273481,-73.6165143,4,1
Café Lounge 5,67 Rue Jarry E,H2P 1T1,45.5399911,-73.6308921,36,3.7
Café DOMO,6712 Rue Clark,H2S 3E9,45.5314008,-73.6133224,51,4.3
Café Jardin,4437 Rue Wellington,H4G 1W6,45.459663,-73.567424,281,4.8
Restaurant le Café Fréjus,5810 Rue de Verdun,H4H 1L9,45.4492295,-73.5724152,534,4.7
La FOUMAGERIE - Sandwiches / Salads - Espresso / Coffee / Tea - Cafe en Vrac - Catering / Traiteur,4906 Rue Sherbrooke O,H3Z 1H3,45.4781115,-73.6041975,104,4.3
La Base Café Buvette,5898 Rue de Verdun,H4H 1M4,45.4483612,-73.5725059,82,4.8
Café Bénédictins,5511 Rue de Verdun,H4H 1K9,45.4523163,-73.572525,399,4.3
Café de la Maison Ronde,2330 Sainte-Catherine O,H3H 1N2,45.4892374,-73.5839007,69,4.6
Cordova,4606 Notre-Dame St W,H4C 1S4,45.473486,-73.587958,349,4.5
Café Komma Rosta,5300 Rue Wellington,H4H 1N2,45.4535531,-73.5677129,211,4.9
Starbucks,4943 Rue Sherbrooke O,H3Z 1H2,45.477537,-73.605416,547,4.1
Restaurant Crème Café,1 8e Avenue,H8P 1Y5,45.4285199,-73.5945893,234,4.1
Campanelli,4634 Notre-Dame St W,H4C 1S4,45.4732361,-73.5880883,191,4.5
Café Moccaccino,4945 Notre-Dame St W,H4C 1S9,45.470722,-73.5909049,38,4.4
TT Café,5544 Rue Saint-Patrick,H4E 0A1,45.4630605,-73.59659,200,4.8
Café la Planck,"Avenue Thérèse-Lavoie-Roux, Montréal, QC H2V",,45.5232027,-73.6200277,37,4.9
Presse Café,7077 Av du Parc,H3N 1X7,45.5299706,-73.6200993,70,4.1
Cafe Le St-Roch,690 Rue Saint-Roch,H3N 1L1,45.528581,-73.6297699,95,4.8
Café Liégeois Canada,"Stationnement Mckiernan - Entrée GYM CANAL, 5524 Rue Saint-Patrick",H4E 1A8,45.4636727,-73.5950313,113,4.4
Presse Café,1001 Bd Décarie,H4A 3J1,45.4727305,-73.6017573,23,3
Comptoir Veritas Cafe,1001 Bd Décarie,H4A 3J1,45.4733308,-73.6008526,20,4.2
Cafe BOB,9320 Rue Charles-de-LaTour,H4N 1M2,45.5309409,-73.6593798,53,4.5
Second Cup Cafe,5073 Chem. Queen Mary,H3W 1X4,45.4857081,-73.6277099,136,4.2
Maté Latte,5837 Rue Sherbrooke O,H4A 1X4,45.4696158,-73.6180275,217,4.7
IKEA Montreal - Restaurant,9191 Boul Cavendish,H4T 1M8,45.491986,-73.6913528,193,4.2
Le cafe bomnal,6543a Av. Somerled,H4V 1S7,45.4675638,-73.6386962,159,4.8
Cafe Eviza,7685 Rue Centrale,H8P 1L7,45.4302429,-73.5983102,57,4.9
Cafe Pab,1875 Av Dollard,H8N 1T9,45.430124,-73.6329207,0,
La Brise du large,1800 Chem. des Iroquois,H8S 4J5,45.4295989,-73.6761218,0,
Uno Gelato,1798 Bd Saint-Joseph,H8S 2N2,45.4329847,-73.6805415,123,4.6
Cafe,1008 Bd Saint-Joseph,H8S 2M6,45.4319036,-73.6728737,1,5
Sélection 1 Inc,3100 Boulevard Cote Vertu Ouest,H4R 2J8,45.4979356,-73.7023542,3,4
Café de' Mercanti,6128 Av de Monkland,H4A 1H4,45.4699572,-73.6277992,473,4.6
Comptoir St-Jo,1000 Bd Saint-Joseph,H8S 2M6,45.431905,-73.6728731,49,4.7
PASTA ANDREA,1718 Bd Saint-Joseph,H8S 2N2,45.432881,-73.679989,823,4.1
Starbucks,8460 Bd Newman,H8N 1Y5,45.4318433,-73.6300142,1157,4.2
McDonald's,"Chemin De La, 3330 Boulevard Cote Vertu Ouest",H4R 1R3,45.4957361,-73.7042753,2657,3.6
Brazilian Canadian Coffee,252 Bd Lebeau,H4N 1R4,45.5250608,-73.656972,2,5
CasaCrypto,413 Rue Chabanel O,H2N 0E1,45.5391083,-73.6547099,2,5
Thé Station,3131 Boulevard Cote Vertu Ouest,H4R 1Y8,45.4976463,-73.7056876,2,4.5
Presse Café,7250 Rue du Mile End,H2R 3A4,45.5318282,-73.623123,27,3.6
Bistro Black Rose,1350 Rue Mazurette Suite 103,H4N 1H2,45.5324002,-73.6592548,20,5
Patisserie Cremino,9394 Bd de l'Acadie #103,H4N 3H1,45.5334351,-73.6586079,489,3.6
Saison des pluies,301 Rue Guizot E,H2P 1M5,45.5423969,-73.6331674,196,4.8
Baristello,709B Rue Jarry E,H2P 1W2,45.545604,-73.627263,268,4.9
Milton B - Cafétéria urbaine,3498 Av du Parc,H2X 2H5,45.5091853,-73.5737272,1048,4.1
Cafe El Mundo,"Tour Jean Talon, Basement, 600 Rue Jean-Talon E",H2R 3A8,45.5406403,-73.6133677,6,4.2
Café Bistro Toquoi,1525 Av. Van Horne,H2V 1L4,45.5187634,-73.616648,30,4.1
Pastel Rita,5761 Boul. Saint-Laurent,H2T 1S9,45.5271518,-73.6015446,350,4.6
Le Dépanneur Café,206 Rue Bernard O,H2T 2K4,45.52475,-73.6043944,494,4.5
Cafe Louvain,,,45.5707315,-73.6323439,4,3.3
Le Bleu - Café-boutique,6900 Rue St-Hubert,H2S 2M6,45.5388824,-73.6094656,2,5
Moustache Café,35 Rue Beaubien E,H2S 1P7,45.5307469,-73.6081954,415,4.5
Café 8oz. Chez l'Éditeur - Villeray,7240 Rue St-Hubert,H2R 2N1,45.541251,-73.6147369,306,4.5
Café Lino espresso,7050 Boul. Saint-Laurent,H2S 3E2,45.533571,-73.616294,73,4.7
Cafe Guerrero,6750 Av. de l'Esplanade,H2V 4M1,45.52964,-73.6162847,70,4.8
Le Café Du Marché,236 Pl. du Marché-du-Nord,H2S 1A1,45.535683,-73.614185,119,4.1
Café Dispatch,267 Rue Saint-Zotique O,H2V 1A4,45.5288896,-73.6161231,309,4.7
Noble Café,7060 Rue Alexandra,H2S 3J4,45.5314631,-73.6184255,52,4.9
Café Holocène,1375 Ave.Thérèse-Lavoie-Roux,H2V 0B3,45.5230649,-73.6200414,6,5
Café Perko,753 Rue Villeray,H2R 1J2,45.5438564,-73.6214728,488,4.4
"Rose - Crèmes, Café & Amour",26 Rue Gounod,H2R 1X1,45.5383108,-73.627951,167,4.5
Café Velours,373 Rue Villeray,H2R 1H1,45.5404105,-73.623428,158,4.7
McDonald's,1021 F Rue du Marché Central,H4N 1J8,45.5345995,-73.6599184,2255,3.3
Boîte à Café,1738 Rue Fleury E,H2C 1T2,45.5664689,-73.6541636,51,4.1
Café Vito,151 Rue Villeray,H2R 1G4,45.5384181,-73.6245508,783,4.7
Cafe Loche,1352 Rue Sauvé E,H2C 2A2,45.5586801,-73.6514163,47,4.5
Café Suprême,255 Boul Crémazie E,,45.5440543,-73.6404856,12,3.8
Resto Unik,805 Bd Décarie,H4L 3L7,45.5119438,-73.6787204,62,3.8
UNCLE PETE'S cafe,7018 Boul. Saint-Laurent,H2S 3E2,45.5333091,-73.6158476,39,4.2
Maison O Thé Saint-Laurent,625 Bd Décarie,H4L 3L2,45.5098152,-73.6753677,481,4.6
Treats Coffee & Fresh Tea.,8250 Decarie Blvd #130B,H4P 2P5,45.4991202,-73.6619925,16,5
Café Da Ciro,2905 Rue Fleury E,H2B 1M3,45.57913,-73.6446733,31,3.9
Café Sandrino,718 Rue Legendre E,H2M 1G9,45.550551,-73.6437115,103,5
Acropolis,7295 Av. Bloomfield,H3N 2H1,45.5279571,-73.6257634,23,4.4
La Prep,433 Rue Chabanel O Suite 102,H2N 2J4,45.53897,-73.654705,40,4.1
Chabanelle,315 Rue Chabanel O,H2N 2G1,45.5399533,-73.6539725,40,4.3
Café Dounia,2225 Rue Jean-Talon E,H2E 1V5,45.5510441,-73.6045237,58,4.1
Massaya Café Lounge,7494 Rue St-Hubert,H2R 2N4,45.5427425,-73.6178743,6,4.8
Pâtisserie Mr. Puffs Pastry,9191 Bd de l'Acadie,H4N 3K1,45.5333333,-73.6552778,677,4.4
