Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
Sushi Shop,4147 Bd LaSalle,H4G 2A6,45.462367,-73.563556,33,4.8
Thai Express Restaurant Montréal,1000 Rue De La Gauchetière O,H3B 4W5,45.498175,-73.566385,62,2.8
JIAO,399 Notre-Dame St W,H2Y 1V2,45.5016064,-73.5593091,358,4.1
Thai Express Restaurant Montréal,1581 R. Saint-Denis,H2X 3K3,45.514896,-73.562198,184,3.1
Sushi Shop Île-des-Soeurs,"Les Halles de L Iles, 7 Pl. du Commerce",H3E 2B5,45.468633,-73.543111,79,3.2
Sushi Hoshimi,6573 Av. Somerled,H4V 1S9,45.467129,-73.639065,172,4.5
Fisshu,537 Sainte-Catherine O,H3B 1B2,45.5045242,-73.5687255,3753,4.2
Thaï Express,1570 Boul. de Maisonneuve Ouest,H3G 1N1,45.495919,-73.578919,224,2.9
Tiki-Ming,"1500 Avenue McGill College A-027, Place Montreal Trust",H3A 3J5,45.50234,-73.5723531,24,3.4
Chef Lee,1901 Sainte-Catherine O,H3H 1M3,45.492845,-73.5807318,289,4.4
Thaï Express,"Place Alexis Nihon, 1500 Av. Atwater",H3Z 1X5,45.489505,-73.585265,65,3.3
Qing Hua Dumpling - (Maisonneuve),1675 Boul. de Maisonneuve Ouest,H3H 1J6,45.4949188,-73.5803364,1289,4.2
Thaï Express,"Carrefour Industrielle Alliance, 977 Sainte-Catherine O",H3B 4W3,45.50111,-73.572242,27,3
Sushi Newman,7763 Bd Newman,H8N 1X7,45.4379729,-73.6248796,261,4.1
Tiki-Ming,705 Sainte-Catherine O,H3B 4G5,45.502538,-73.571326,73,2.4
Sushi Shop,8061 Bd Newman,H8N 2N9,45.43532,-73.627173,270,4.2
Thai Express Restaurant Montréal,11 Avenue du Mont-Royal O,H2T 2R9,45.519945,-73.586697,93,2.7
ND Sushi,9717 Boul. Saint-Laurent,H3L 2N4,45.546456,-73.6575259,136,4.5
Restaurant Mikado,399 Av. Laurier O,H2V 2K3,45.5189601,-73.5967566,452,4.4
Thaï Express,"Louis Boheme, 1504 Rue de Bleury",H3A 2J2,45.506831,-73.568767,278,3.8
APPAYON - Cuisine Bangladeshi,520 Av. Ogilvy,H3N 1M8,45.528879,-73.6251844,356,4.3
Sushi shop,9252 Bd de l'Acadie,H4N 3C5,45.532662,-73.6561879,107,4
