Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Lasagne du Plateau,4.7,45.519331,-73.5946561,5007 Park Ave,,71
Fiorellino (Laurier),4.1,45.5191313,-73.5967169,381 Av. Laurier O,H2V 2K3,418
Elio Pizzeria,4.4,45.5320694,-73.6026667,351 Rue de Bellechasse,H2S 1X1,2102
Restaurant La Piccola,4.2,45.5705889,-73.6514133,2050 Rue Fleury E,H2B 1J3,390
Kesté,4.3,45.5209321,-73.5974551,275 Av. Fairmount O,H2V 0A1,647
Drogheria Fine,4.5,45.5229987,-73.595104,68 Av. Fairmount O,H2T 2M2,788
Il Pagliaccio,4.6,45.5193568,-73.5962759,"Canada, 365 Av. Laurier O",H2V 2K5,130
Il Miglio,4.5,45.5243401,-73.5951136,5235 St Laurent Blvd,H2T 1S4,198
Pizzeria Etc,4.4,45.6174677,-73.5936881,7303 Boul Henri-Bourassa E,H1E 2Z6,150
Restaurant Panzzerotti,4.6,45.550559,-73.6049599,2115 Rue Jean-Talon E,H2E 1V4,300
Chez Di Vito‎,4.2,45.518483,-73.5926569,4815 Park Ave,H2V 4E7,82
Restaurant Nouveau Paragon Beaubien,4.2,45.5871657,-73.5616835,6491 Rue Beaubien E,H1M 1B1,123
Prima Luna,4.4,45.6173799,-73.5939941,7301 Boul Henri-Bourassa E,H1E 2Z6,600
Pacini Langelier,4,45.5823283,-73.543642,6583 Sherbrooke St E,H1N 1C5,1410
Artigiani,4.4,45.524973,-73.5847663,4657 Saint Denis St,H2J 2L5,658
Buona Sera,4.1,45.6051035,-73.6262521,5337 Boul Henri-Bourassa E,H1G 2T1,687
Maison des Pâtes Fraîches (la),4.6,45.5242688,-73.5760882,865 Rue Rachel E,H2J 2H9,731
Resto Le Quattro,4.7,45.5852797,-73.6349117,3943 Rue Fleury E,H1H 2T8,116
Amelias,4.4,45.5107415,-73.5726663,201 Rue Milton,H2X 1V5,723
Bacaro Pizzeria - Plateau Mont-Royal,3.8,45.5297527,-73.5771627,1302 Mont-Royal Ave E,H2J 1Y5,224
