Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Le Bay Cà Phê,4.6,45.5244958,-73.5957079,5263 St Laurent Blvd,H2T 1S4,387
Spicy Noodle Express Liang,3.6,45.510347,-73.5750613,3575 Park Ave,H2X 3P9,156
Sandwicherie Sue - Duluth,4.5,45.5239555,-73.5731259,951 Av. Duluth E,H2L 4X5,101
Poké Bon,4.9,45.5205004,-73.5862151,23 Mont-Royal Ave E,H2T 1N4,51
Yokato Yokabai Ramen,4.6,45.5212262,-73.5785399,4185 Drolet St,H2W 2L5,3925
Restaurant Hansang,4.7,45.5197108,-73.5967383,5136 Park Ave,H2V 4G5,333
Yuukai sushi,4.4,45.5220694,-73.6012203,5407 Park Ave,H2V 4G9,294
Sushi Shop,4,45.519181,-73.587488,85 Mont-Royal Ave W,H2T 2S5,65
M. Ramen,4.3,45.5367237,-73.5707106,2222 Mont-Royal Ave E,H2H 1K4,78
Vieux-Port Steakhouse,4.2,45.506179,-73.5534659,39 Rue Saint-Paul E,H2Y 1G2,3584
Azalea,4.9,45.5224257,-73.5799502,4306 Saint Denis St,H2J 2K8,63
Thai Express Restaurant Montréal,3,45.589869,-73.539313,"Place Versailles, 7275 Sherbrooke St E",H1N 1E9,131
Akita,4.4,45.5998717,-73.5775619,6985 Rue Jarry E,H1P 3B5,160
Kazu,4.7,45.493037,-73.579836,1844 Saint-Catherine St W,H3H 1M1,2000
Restaurant Dobe & Andy,4.3,45.5073271,-73.5612908,1071 Rue Saint-Urbain R-12,H2Z 1Y6,646
Uchi,4.4,45.519574,-73.561362,1799 R. Atateken,H2L 3L7,664
Restaurant Kien-Giang Exp,4.6,45.5344125,-73.5517764,2669 Ontario St E,H2K 1X1,237
Sun Heng Chinese Food,4,45.6227454,-73.6238268,6349 Bd Léger,,295
Sake Sushi,4.6,45.5803481,-73.5451361,6365 Sherbrooke St E,H1N 1C4,197
Sésame,4,45.4795936,-73.575661,141 Atwater Ave,H3J 2Z6,473
Jatoba,4.5,45.5032786,-73.567343,1184 R. du Square-Phillips,H3B 3C8,1084
Nouilles Star,4.2,45.4929995,-73.580451,1871 Saint-Catherine St W,H3H 1M2,1041
Tiki-Ming,4.3,45.592141,-73.541016,"7275 rue Sherbrooke Est, 123 Place Versailles",H1N 1E9,160
Nouilles de Lan Zhou - Noodle Shop,4.5,45.5077382,-73.5596307,1006 St Laurent Blvd,H2Z 9Y9,2568
Fondue Kim Long,4.2,45.562774,-73.6054732,3250 Boul Crémazie E,H2A 3N9,251
