Nom,Rue,postalCode,Latitude,Longitude,reviewsCount,totalScore
BIS,1229 Rue de la Montagne,H3G 1Z2,45.4977498,-73.574221,512,4.4
La Bella Italiana,5884 Rue Jean-Talon E,H1S 1M2,45.5857283,-73.579659,903,4.6
Pizza St-Michel,9213 Bd Saint-Michel,H1Z 3G7,45.573328,-73.6303593,272,3.8
Resto Bar Gelbison,2179 Rue Fleury E,H2B 1J9,45.5722403,-73.6504261,44,3.9
Restaurant Tuscolo,1466 Rue Crescent,H3G 2B7,45.4976891,-73.5772199,233,4.2
Restaurant Fresco,"1A2, 6040 Bd des Grandes-Prairies",H1P 1A2,45.6012356,-73.6094962,262,4.3
Restaurant Paragon,4640 Rue Jarry E,H1R 1X3,45.5766222,-73.5976505,457,3.9
Pizzeria Gusto,5152 Rue Jarry E,H1R 1Y4,45.5817978,-73.593202,317,4.5
Mammina Pizzeria,4972 Bd Léger,H1G 1J6,45.6052192,-73.6356005,290,4.4
Brocca,180 Rue de Castelnau O,H2R 3C1,45.5328333,-73.62201,105,4.5
Cafe Fantini,248 Rue Jean-Talon O,H2R 2X5,45.5318898,-73.6206666,1,5
Pizza Sicily,531 Rue Saint-Roch,H3N 1K7,45.5299012,-73.6293643,61,4.3
Parma Café,162 Rue Jean-Talon E,H2R 1S7,45.5358363,-73.6164863,388,4.5
286-71634 Que Inc,5734 Rue Sherbrooke O,H4A 1W8,45.4702569,-73.6157559,3,4
Porchetta (Little Italy),6887 Boul. Saint-Laurent,H2S 3C9,45.5330889,-73.6144833,336,4.4
Basilico Pizza and Pasta,7 Pl. du Commerce Unit 104,H3E 2B5,45.4684485,-73.543022,90,4.5
La Socca,278 Rue Elgar,H3E 1C9,45.4565732,-73.5468904,223,4.3
Pizzeria Da Bologna (apportez votre vin!),5185 Rue de Charleroi,H1G 3A2,45.6004131,-73.6248203,614,4.5
CANESSA pâtes et risotto,124 Rue Fleury O,H3L 1T4,45.5466649,-73.6658498,0,
Toujours Mikes,1850 Av Dollard,H8N 1T8,45.429411,-73.6331521,286,3.4
Trattoria Rondine,5697 Chem. de la Côte des Neiges,,45.4989575,-73.6274889,0,
Bar Sora,6280 Av. Somerled,H3X 2B6,45.4706363,-73.6353467,119,4.4
La Nottè,5751 Av de Monkland,H4A 1E8,45.4739191,-73.6245919,120,4
Bistro Campus Jean-Brillant,3200 Rue Jean-Brillant,H3T 1N8,45.4986167,-73.6184835,13,4.2
Pizza 2 Pour 1,3670 Rue Fleury E,H1H 2S6,45.5831009,-73.6383178,114,3.8
Resto Le Quattro,3943 Rue Fleury E,H1H 2T8,45.5852797,-73.6349117,116,4.7
Gia Vin & Grill,1025 Rue Lenoir,H4C 2Z6,45.4772604,-73.5932604,190,4.7
Pasta Cicoone,5077 Bd Couture,H1R 3B9,45.5899039,-73.6137396,0,
Rebecca Pizza,9211 Bd Saint-Michel,H1Z 3G6,45.5731198,-73.6300771,305,4.2
Pizza Mosaic,7695 Rue Centrale,H8P 1L7,45.4300169,-73.598506,119,4.5
Pizzeria Marinos,1580 Rue Barré,H4L 4M6,45.5244547,-73.6836481,116,4.2
Trattoria Il Ritrovo,2895 Rue Fleury E,H2B 1M1,45.5789106,-73.6449491,259,4.6
Restaurant Nouveau Félix,9143 Bd Pie-IX,H1Z 3V9,45.5801819,-73.6215875,186,3.9
Vincent Sous-Marins Montréal-Nord,4031 Boul Henri-Bourassa E,H1H 1L2,45.5951138,-73.6436114,429,4
Restaurant Granada Pizzéria,4668 Rue de Charleroi,H1H 1T7,45.5959338,-73.6325878,181,3.9
Resto-Bar Trevi,800 Rue de l'Église,H4G 2N2,45.4629625,-73.5736904,307,4
Ville Émard Deli-Pizzeria,6078 Rue Laurendeau,H4E 3X5,45.457665,-73.5882407,265,4.1
Via,4711 Rue d'Amiens,,45.5928982,-73.6288672,220,4.4
Bistro Sapori,4719 Bd Lavoisier,H1R 3E9,45.5844586,-73.612102,0,
Rita,3681 Rue Wellington,H4G 1V1,45.4670473,-73.5667602,624,4.6
L'in-time,4619 Rue Wellington,H4G 1X1,45.4581912,-73.5675501,264,4.6
Elena,5090 Notre-Dame St W,H4C 1T1,45.4698292,-73.5917121,997,4.6
Luciano Ristorante,4609 Rue de Verdun,H4G 1M6,45.458512,-73.5719101,141,4.4
Pizzeria Geppetto Verdun,5583 Rue de Verdun,H4H 1L2,45.4516358,-73.5726131,333,4.4
Faccia Brutta,1701 Rue Lapierre,H8N 1P2,45.436683,-73.6125117,126,4.5
Bardeco Pizza,5917 Bd Monk,H4E 3H5,45.4595142,-73.596573,256,4.5
Bacaro Pizzeria - Lachine,2825 Rue Victoria,H8S 1Z3,45.4357185,-73.6876638,463,4
Manzo Pizzeria,1033 90e Avenue,H8R 3A4,45.4274165,-73.6391901,705,4.4
Mama Sofia,6705 Rue Sherbrooke O,H4B 1P3,45.4621239,-73.632355,128,4.6
Tasty Food Pizza,6660 Bd Décarie,H3X 2K4,45.4911718,-73.6470118,254,3.8
Pizza Campanello,587 Rue Jarry E,H2P 1V6,45.5442995,-73.6284835,227,4.8
Pizza Roma,8251 Boul. Saint-Laurent,H2P 2M1,45.5397268,-73.6335852,226,3.9
Restaurant Centrale Pizzeria,7610 Rue Centrale,H8P 1K9,45.4320417,-73.5973273,324,4.1
Antonietta,6672 Av. Papineau,H2G 2X2,45.5444548,-73.5997081,211,4.7
Ismail Bourida,1534 Rue Jarry E,H2E 1A9,45.5517805,-73.620038,7,3
Restaurant Chez Magnani,9245 Rue Lajeunesse,H2M 1S3,45.5493105,-73.6474409,0,
Restaurant Paolino,8497 Rue Saint-Dominique,H2P 2L4,45.5413758,-73.6369352,99,4.7
